molecule,metal,metal_atom_index,metal_atom_name,nuclearity,coordination_number_initial,coordination_number_final,coordination_number_conserved,mean_initial_ML_bond_A,mean_final_ML_bond_A,mean_abs_delta_ML_bond_A,max_abs_delta_ML_bond_A,mean_abs_delta_LML_angle_deg,max_abs_delta_LML_angle_deg,angle_pair_count,metal_sphere_RMSD_A,global_heavy_atom_RMSD_A,donor_atom_indices,donor_atom_names,notes
1101098_ACURCU01,Cu,1,Cu1,2,5,5,True,2.002463,2.118369,0.252958,0.644218,22.422383,53.374692,10,0.407847,0.616900,2;3;4;5;6,O1;O2;O3;O4;O5,
1101098_ACURCU01,Cu,24,Cu1B,2,5,5,True,2.002463,1.715032,0.287431,0.577175,3.337728,7.959435,10,0.309623,0.616900,27;28;29;30;31,O3B;O4B;O1B;O2B;O5B,
1241955_QEBQIX,Cu,1,Cu1,2,5,5,True,2.009099,1.608091,0.401008,1.060642,3.941553,11.587632,10,0.487456,0.876800,2;4;5;6;7,O1;O3;O4;O5;O6,
1241955_QEBQIX,Cu,35,Cu1A,2,5,4,False,2.009099,2.494203,0.620559,1.966768,30.512682,81.727416,10,0.732244,0.876800,36;55;57;58;60,O1A;O3A;O5A;O4A;O6A,
AFAXAI961560,Mg,2,Mg1,2,4,4,True,2.321871,2.297086,0.032135,0.058137,4.315710,6.546419,6,0.113170,0.232700,1;3;18;38,Br1;O1;C11;Br1,
AFAXAI961560,Mg,39,Mg1,2,4,4,True,2.321872,2.296963,0.032711,0.058690,4.397712,6.449423,6,0.115013,0.232700,1;38;40;55,Br1;Br1;O1;C11,
AKOWEF2056608,Si,1,Si1,3,4,4,True,1.811177,1.797985,0.014675,0.022446,0.731095,1.533178,6,0.022825,0.144600,3;4;5;26,N1;N2;C7;C8,
AKOWEF2056608,Mg,2,Mg1,3,4,4,True,2.098933,2.068511,0.030576,0.061882,2.486818,4.382951,6,0.086927,0.144600,3;4;35;36,N1;N2;N1;N2,
AKOWEF2056608,Si,34,Si1,3,4,4,True,1.811182,1.798596,0.013875,0.019755,0.745999,1.624122,6,0.023136,0.144600,35;36;37;58,N1;N2;C7;C8,
ALOHEO175795,Mg,1,Mg1,1,6,6,True,2.270439,2.157890,0.112549,0.153845,4.153995,12.059182,15,0.203892,0.361300,2;3;4;5;6;35,Br1;O1;O2;O3;O4;C9,
Ag_mono_1010483,Ag,5,Ag,1,1,1,True,2.095545,2.366862,0.271317,0.271317,,,0,0.135658,0.678600,1,S,
As_bio_1100398,As,1,As,2,2,2,True,2.011964,2.016521,0.008226,0.012783,1.896307,1.896307,1,0.023294,0.167200,2;27,C;C,
As_bio_1100398,As,31,As,2,2,2,True,2.012019,2.017758,0.009720,0.015459,1.982507,1.982507,1,0.024889,0.167200,32;57,C;C,
Cd_mono_1100232,Cd,1,Cd,1,4,4,True,2.293979,2.345922,0.065618,0.130257,2.893033,4.697299,6,0.101488,0.140800,2;13;25;37,C;N;C;N,
Cisplatin_Pt_7032859,Pt,1,Pt,1,6,6,True,2.113315,2.042461,0.076230,0.145932,2.123769,7.513469,15,0.113603,0.958500,2;8;12;16;20;27,Cl;N;O;N;O;Cl,
Co_mono_1001253,Co,1,Co,1,6,6,True,1.950570,1.200974,0.749596,0.954270,1.990494,6.968750,15,0.714723,0.670200,2;3;4;5;6;7,N;N;N;N;N;O,
Cr_mono_1100295,Cr,1,Cr,1,5,5,True,2.013618,2.012711,0.023111,0.060044,1.873824,3.748750,10,0.046669,0.187100,9;20;22;24;25,C;C;C;C;C,
Cu2_dinuc_1100140,Cu,1,Cu,3,4,2,False,1.999181,2.472165,0.544847,1.241786,50.102375,100.920766,6,1.077019,1.616200,6;7;18;28,O;O;N;N,
Cu2_dinuc_1100140,Cu,2,Cu,3,4,3,False,2.153502,2.552095,0.705622,2.208431,38.144889,126.650618,6,1.140546,1.616200,5;6;38;48,Cl;O;N;N,
Cu2_dinuc_1100140,Cu,3,Cu,3,5,3,False,2.129462,3.459308,1.473314,3.639895,23.685379,52.781308,10,2.092925,1.616200,4;7;8;58;68,Cl;O;N;N;N,
Cu_Dexibuprofen_7056404,Cu,1,Cu,1,4,4,True,1.995828,1.957335,0.061735,0.102014,3.807221,11.340090,6,0.098366,0.486800,2;4;6;7,O;O;N;N,
Fe2_dinuc_1100532,Fe,1,Fe,4,4,4,True,2.111554,2.023631,0.087924,0.122493,5.416909,10.243419,6,0.153301,0.233400,3;4;8;47,Cl;N;N;N,
Fe2_dinuc_1100532,Fe,5,Fe,4,4,4,True,2.105525,2.015293,0.090232,0.162577,6.019208,10.110563,6,0.168554,0.233400,4;7;8;44,N;Cl;N;N,
Fe2_dinuc_1100532,Fe,45,Fe,4,4,4,True,2.111586,2.030789,0.080797,0.100698,3.689586,10.476844,6,0.122141,0.233400,8;44;46;47,N;N;Cl;N,
Fe2_dinuc_1100532,Fe,48,Fe,4,4,4,True,2.105525,2.015404,0.090121,0.144592,2.704643,5.732129,6,0.107899,0.233400,4;44;47;71,N;N;N;Cl,
Ferrocene_Dicarboxylate_2013283,Fe,1,Fe,1,2,2,True,2.036430,2.038328,0.025968,0.027866,0.682169,0.682169,1,0.015374,0.376500,6;17,C;C,
Hf_mono_1100175,Hf,1,Hf,1,4,4,True,2.009799,1.986779,0.090157,0.134273,1.288967,3.479478,6,0.067138,0.230900,3;38;73;108,N;N;N;N,
Ir_mono_1100788,Ir,1,Ir,2,3,3,True,2.083285,1.962272,0.121013,0.183513,20.771385,28.943705,3,0.447899,1.022700,3;6;8,N;C;C,
Ir_mono_1100788,Ir,2,Ir,2,2,2,True,2.079689,2.090918,0.036903,0.048133,41.324022,41.324022,1,0.413749,1.022700,3;13,N;C,
