molecule,metal,nuclearity,coordination_number_initial,coordination_number_final,coordination_number_conserved,mean_abs_delta_ML_bond_A,max_abs_delta_ML_bond_A,mean_abs_delta_LML_angle_deg,max_abs_delta_LML_angle_deg,metal_sphere_RMSD_A,global_heavy_atom_RMSD_A,n_atoms,n_heavy,n_metal_atoms,n_ML_bonds,n_LML_angles,metal_atom_indices,source_mol2,reference_coord,minimized_coord,minimized_format,notes
1101098_ACURCU01,Cu2,2,10,10,True,0.270194,0.644218,12.880056,53.374692,0.373077,0.616900,49,27,2,10,20,1;24,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/1101098_ACURCU01/orb_metal_ff_output/1101098_ACURCU01_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/1101098_ACURCU01/orb_metal_ff_output/1101098_ACURCU01_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/1101098_ACURCU01/sander/1101098_ACURCU01_min.mol2,mol2,no_prmtop_mol2pdb_reader
1241955_QEBQIX,Cu2,2,10,9,False,0.510784,1.966768,17.227118,81.727416,0.629593,0.876800,68,34,2,10,20,1;35,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/1241955_QEBQIX/orb_metal_ff_output/1241955_QEBQIX_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/1241955_QEBQIX/orb_metal_ff_output/1241955_QEBQIX_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/1241955_QEBQIX/sander/1241955_QEBQIX_min.mol2,mol2,no_prmtop_mol2pdb_reader
AFAXAI961560,Mg2,2,8,8,True,0.032423,0.058690,4.356711,6.546419,0.158213,0.232700,74,32,2,8,12,2;39,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/AFAXAI961560/orb_metal_ff_output/AFAXAI961560_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/AFAXAI961560/orb_metal_ff_output/AFAXAI961560_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/AFAXAI961560/sander/AFAXAI961560_min.mol2,mol2,no_prmtop_mol2pdb_reader
AKOWEF2056608,Mg;Si2,3,12,12,True,0.019708,0.061882,1.321304,4.382951,0.144471,0.144600,65,23,3,12,18,1;2;34,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/AKOWEF2056608/orb_metal_ff_output/AKOWEF2056608_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/AKOWEF2056608/orb_metal_ff_output/AKOWEF2056608_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/AKOWEF2056608/sander/AKOWEF2056608_min.mol2,mol2,no_prmtop_mol2pdb_reader
ALOHEO175795,Mg,1,6,6,True,0.112549,0.153845,4.153995,12.059182,0.203892,0.361300,48,21,1,6,15,1,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/ALOHEO175795/orb_metal_ff_output/ALOHEO175795_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/ALOHEO175795/orb_metal_ff_output/ALOHEO175795_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/ALOHEO175795/sander/ALOHEO175795_min.mol2,mol2,no_prmtop_mol2pdb_reader
Ag_mono_1010483,Ag,1,1,1,True,0.271317,0.271317,,,0.135658,0.678600,5,5,1,1,0,5,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Ag_mono_1010483/orb_metal_ff_output/Ag_mono_1010483_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Ag_mono_1010483/orb_metal_ff_output/Ag_mono_1010483_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Ag_mono_1010483/sander/Ag_mono_1010483_min.mol2,mol2,no_prmtop_mol2pdb_reader
As_bio_1100398,As2,2,4,4,True,0.008973,0.015459,1.939407,1.982507,0.026300,0.167200,60,24,2,4,2,1;31,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/As_bio_1100398/orb_metal_ff_output/As_bio_1100398_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/As_bio_1100398/orb_metal_ff_output/As_bio_1100398_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/As_bio_1100398/sander/As_bio_1100398_min.mol2,mol2,no_prmtop_mol2pdb_reader
Cd_mono_1100232,Cd,1,4,4,True,0.065618,0.130257,2.893033,4.697299,0.101488,0.140800,47,31,1,4,6,1,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cd_mono_1100232/orb_metal_ff_output/Cd_mono_1100232_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cd_mono_1100232/orb_metal_ff_output/Cd_mono_1100232_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cd_mono_1100232/sander/Cd_mono_1100232_min.mol2,mol2,no_prmtop_mol2pdb_reader
Cisplatin_Pt_7032859,Pt,1,6,6,True,0.076230,0.145932,2.123769,7.513469,0.113603,0.958500,27,15,1,6,15,1,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cisplatin_Pt_7032859/orb_metal_ff_output/Cisplatin_Pt_7032859_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cisplatin_Pt_7032859/orb_metal_ff_output/Cisplatin_Pt_7032859_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cisplatin_Pt_7032859/sander/Cisplatin_Pt_7032859_min.mol2,mol2,no_prmtop_mol2pdb_reader
Co_mono_1001253,Co,1,6,6,True,0.749596,0.954270,1.990494,6.968750,0.714723,0.670200,27,10,1,6,15,1,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Co_mono_1001253/orb_metal_ff_output/Co_mono_1001253_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Co_mono_1001253/orb_metal_ff_output/Co_mono_1001253_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Co_mono_1001253/sander/Co_mono_1001253_min.mol2,mol2,no_prmtop_mol2pdb_reader
Cr_mono_1100295,Cr,1,5,5,True,0.023111,0.060044,1.873824,3.748750,0.046669,0.187100,47,28,1,5,10,1,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cr_mono_1100295/orb_metal_ff_output/Cr_mono_1100295_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cr_mono_1100295/orb_metal_ff_output/Cr_mono_1100295_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cr_mono_1100295/sander/Cr_mono_1100295_min.mol2,mol2,no_prmtop_mol2pdb_reader
Cu2_dinuc_1100140,Cu3,3,13,8,False,0.951419,3.639895,34.833517,126.650618,1.738740,1.616200,77,50,3,13,22,1;2;3,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cu2_dinuc_1100140/orb_metal_ff_output/Cu2_dinuc_1100140_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cu2_dinuc_1100140/orb_metal_ff_output/Cu2_dinuc_1100140_numbered.mol2,/mnt/c/Users/Dell/Downloads/RapidMetalFF-AI/Cu2_dinuc_1100140/sander/Cu2_dinuc_1100140_min.mol2,mol2,no_prmtop_mol2pdb_reader
